combined,negative,neutral,positive,inc/dec
0.34115454545454543,0.07145454545454545,0.578,0.35054545454545455,2.0
0.34975,0.03925,0.562,0.39875,0.0
0.06661363636363636,0.05795454545454545,0.7790454545454545,0.163,0.0
0.146475,0.0,0.94675,0.05325,2.0
0.23025217391304348,0.0691304347826087,0.6751739130434783,0.25560869565217387,2.0
0.2066125,0.078125,0.737,0.18475,2.0
0.25325000000000003,0.04429166666666667,0.77725,0.17841666666666667,2.0
-0.08412499999999999,0.187375,0.719,0.09375,2.0
0.43041666666666667,0.06366666666666666,0.6035,0.33283333333333337,2.0
0.13428421052631578,0.03052631578947369,0.8258947368421052,0.14357894736842103,2.0
0.10615000000000001,0.0,0.8653333333333334,0.13466666666666668,0.0
0.0,0.0,1.0,0.0,2.0
0.06665,0.09725,0.57925,0.3235,0.0
0.16160625,0.0736875,0.7475,0.17881249999999999,2.0
0.3216,0.015222222222222224,0.7585555555555555,0.22611111111111112,0.0
0.22024210526315788,0.04352631578947369,0.8404736842105263,0.11605263157894737,0.0
0.1331,0.0568,0.7186,0.22480000000000003,2.0
0.3356166666666667,0.08983333333333333,0.7789999999999999,0.13116666666666668,2.0
0.26945384615384615,0.01896153846153846,0.7842692307692308,0.15834615384615386,2.0
0.3400764705882353,0.011411764705882354,0.6522941176470588,0.33629411764705885,2.0
0.1926111111111111,0.05211111111111111,0.8455555555555556,0.10244444444444444,0.0
0.2762,0.041800000000000004,0.8118000000000001,0.1462,0.0
0.28712857142857146,0.034428571428571426,0.6861428571428572,0.2794285714285714,2.0
0.41566000000000003,0.04308,0.60936,0.34752000000000005,2.0
0.5022818181818182,0.011636363636363637,0.6459090909090909,0.34245454545454546,0.0
0.7997,0.089,0.613,0.298,0.0
0.28257272727272725,0.08227272727272728,0.7530909090909091,0.1648181818181818,0.0
0.45635454545454546,0.03990909090909091,0.7857272727272728,0.17445454545454545,0.0
-0.08303333333333333,0.06983333333333333,0.7671666666666667,0.163,2.0
0.4019,0.0,0.0,1.0,0.0
0.36755,0.0,0.723,0.277,0.0
0.622325,0.028,0.7462500000000001,0.22575,2.0
0.0,0.0,1.0,0.0,0.0
0.2054666666666667,0.06455555555555555,0.5902222222222222,0.3453333333333333,0.0
0.59775,0.0,0.4735,0.5265,2.0
0.410025,0.014625,0.7016249999999999,0.28375,2.0
0.13396666666666665,0.0,0.6666666666666666,0.3333333333333333,0.0
0.2997,0.0,0.877,0.123,2.0
0.010842857142857144,0.05171428571428571,0.8975714285714286,0.050571428571428566,0.0
0.1101,0.0,0.8140000000000001,0.186,0.0
0.32862,0.0,0.4854,0.5146,0.0
0.0,0.0,1.0,0.0,0.0
0.14481818181818182,0.04336363636363637,0.7856363636363636,0.1710909090909091,2.0
0.33298333333333335,0.06533333333333333,0.7921666666666667,0.1425,2.0
-0.13518000000000002,0.09759999999999999,0.8464,0.05600000000000001,1.0
0.3449125,0.0,0.614125,0.38587499999999997,2.0
0.472325,0.0,0.5609999999999999,0.439,2.0
0.21075,0.0,0.9085,0.0915,0.0
0.3243,0.0,0.827,0.173,2.0
