,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26 17:15:00+00:00,38225.234375,87.76000213623047,955.5,4428.47021484375,20833.01953125,13875.05078125,38225.234375,87.76000213623047,955.5,4428.47021484375,20833.01953125,13875.05078125,38330.40234375,87.86000061035156,955.8800048828125,4429.89990234375,20833.669921875,13878.4228515625,38225.234375,87.62999725341797,951.22998046875,4423.9599609375,20816.830078125,13859.64453125,38330.40234375,87.69000244140625,954.0900268554688,4428.18994140625,20830.08984375,13867.1015625,0,7749.0,350259.0,57191000.0,4061876.0,105028000.0
2022-01-26 17:30:00+00:00,38121.90234375,87.86000061035156,961.3800048828125,4435.02001953125,20843.599609375,13919.9287109375,38121.90234375,87.86000061035156,961.3800048828125,4435.02001953125,20843.599609375,13919.9287109375,38230.81640625,87.86000061035156,962.47998046875,4435.3701171875,20849.66015625,13921.306640625,38110.75390625,87.63999938964844,952.3300170898438,4424.64990234375,20822.33984375,13860.8486328125,38230.81640625,87.7699966430664,955.6500244140625,4428.56005859375,20832.9296875,13875.169921875,2000896,4830.0,663554.0,65312000.0,4134713.0,114616000.0
2022-01-26 17:45:00+00:00,38097.2421875,87.79000091552734,962.659912109375,4433.85009765625,20846.900390625,13917.552734375,38097.2421875,87.79000091552734,962.659912109375,4433.85009765625,20846.900390625,13917.552734375,38157.296875,87.94999694824219,964.2899169921875,4435.169921875,20851.330078125,13921.5166015625,38094.62890625,87.75,958.1099853515625,4430.16015625,20830.130859375,13903.7412109375,38126.203125,87.86000061035156,961.22998046875,4435.0400390625,20842.7890625,13919.8427734375,2351104,7488.0,758384.0,65884000.0,3928400.0,102761000.0
2022-01-26 18:00:00+00:00,37792.75,87.19999694824219,959.0100708007812,4427.7099609375,20825.890625,13890.7734375,37792.75,87.19999694824219,959.0100708007812,4427.7099609375,20825.890625,13890.7734375,38098.296875,87.86000061035156,962.8031005859375,4434.2099609375,20848.439453125,13918.693359375,37704.31640625,87.18000030517578,954.10009765625,4417.759765625,20791.9609375,13854.19921875,38098.296875,87.80000305175781,962.6900024414062,4433.93017578125,20847.9296875,13918.693359375,153825280,16031.0,615285.0,66169000.0,5190067.0,114354000.0
2022-01-26 18:15:00+00:00,37770.26953125,87.56999969482422,958.8200073242188,4422.330078125,20823.240234375,13876.462890625,37770.26953125,87.56999969482422,958.8200073242188,4422.330078125,20823.240234375,13876.462890625,37859.33984375,87.62000274658203,960.0,4427.83984375,20829.80078125,13891.8720703125,37726.55859375,87.16000366210938,956.5599975585938,4415.75,20796.880859375,13855.12109375,37807.3125,87.20999908447266,959.1500244140625,4427.5498046875,20827.609375,13890.4794921875,54282240,9648.0,386049.0,57383000.0,4723264.0,101415000.0
2022-01-26 18:30:00+00:00,37794.8984375,87.41999816894531,958.2999877929688,4422.5400390625,20814.759765625,13869.71484375,37794.8984375,87.41999816894531,958.2999877929688,4422.5400390625,20814.759765625,13869.71484375,37818.109375,87.63999938964844,959.739990234375,4425.2998046875,20832.4296875,13882.4091796875,37756.1640625,87.37000274658203,955.0,4418.7099609375,20806.359375,13857.615234375,37767.62109375,87.56999969482422,958.5800170898438,4422.2998046875,20821.400390625,13874.421875,69566464,5804.0,335723.0,59435000.0,4343823.0,94078000.0
2022-01-26 18:45:00+00:00,37947.3828125,87.25,960.1950073242188,4422.0,20800.759765625,13864.189453125,37947.3828125,87.25,960.1950073242188,4422.0,20800.759765625,13864.189453125,38143.91796875,87.44000244140625,963.3599853515625,4427.490234375,20825.169921875,13887.7158203125,37747.93359375,87.19999694824219,957.4000244140625,4419.02978515625,20800.759765625,13858.2998046875,37793.05859375,87.41000366210938,958.5900268554688,4422.52978515625,20813.48046875,13869.3486328125,455354368,5450.0,488147.0,59000000.0,4757156.0,95940000.0
2022-01-26 19:00:00+00:00,38536.8671875,87.38999938964844,959.6500244140625,4407.72998046875,20762.0703125,13811.9326171875,38536.8671875,87.38999938964844,959.6500244140625,4407.72998046875,20762.0703125,13811.9326171875,38793.32421875,87.54000091552734,987.6900024414062,4453.22998046875,20894.9296875,14002.650390625,37980.45703125,87.20999908447266,955.8800048828125,4403.93994140625,20762.0703125,13803.4462890625,37980.45703125,87.22000122070312,959.8200073242188,4422.0400390625,20795.640625,13864.1708984375,1785839616,10741.0,2750664.0,132863000.0,11970408.0,203483000.0
2022-01-26 19:15:00+00:00,38186.0859375,87.36000061035156,970.0900268554688,4429.81982421875,20875.310546875,13889.8955078125,38186.0859375,87.36000061035156,970.0900268554688,4429.81982421875,20875.310546875,13889.8955078125,38429.953125,87.58000183105469,973.3599853515625,4432.89990234375,20881.1796875,13895.744140625,37761.7109375,87.26000213623047,953.7301025390625,4404.33984375,20764.009765625,13795.0224609375,38429.953125,87.4000015258789,959.7736206054688,4407.52001953125,20773.630859375,13814.3798828125,1186465792,18223.0,1567783.0,99883000.0,8392840.0,158874000.0
2022-01-26 19:30:00+00:00,38139.265625,87.33000183105469,964.3300170898438,4393.33984375,20805.19921875,13755.8310546875,38139.265625,87.33000183105469,964.3300170898438,4393.33984375,20805.19921875,13755.8310546875,38215.75,87.5199966430664,980.7698974609375,4433.52978515625,20882.25,13903.7998046875,38009.23046875,87.19999694824219,961.0401000976562,4393.33984375,20787.189453125,13755.8310546875,38215.75,87.36000061035156,970.0529174804688,4429.56982421875,20875.2890625,13889.30859375,812926976,6960.0,1532677.0,137426000.0,11811782.0,180249000.0
