,Date,Label,Price
368,2017-09-26,OPEN,70.18599700927734
369,2017-09-26,CLOSE,69.05000305175781
370,2017-09-27,OPEN,69.9800033569336
371,2017-09-27,CLOSE,68.19400024414062
372,2017-09-28,OPEN,67.97599792480469
373,2017-09-28,CLOSE,67.91999816894531
374,2017-09-29,OPEN,68.37200164794922
375,2017-09-29,CLOSE,68.22000122070312
376,2017-10-02,OPEN,68.50399780273438
377,2017-10-02,CLOSE,68.30599975585938
378,2017-10-03,OPEN,67.18000030517578
379,2017-10-03,CLOSE,69.62799835205078
380,2017-10-04,OPEN,70.25
381,2017-10-04,CLOSE,71.00199890136719
382,2017-10-05,OPEN,71.19999694824219
383,2017-10-05,CLOSE,71.06600189208984
384,2017-10-06,OPEN,70.62000274658203
385,2017-10-06,CLOSE,71.3759994506836
386,2017-10-09,OPEN,69.93000030517578
387,2017-10-09,CLOSE,68.58799743652344
388,2017-10-10,OPEN,69.36000061035156
389,2017-10-10,CLOSE,71.11799621582031
390,2017-10-11,OPEN,70.77799987792969
391,2017-10-11,CLOSE,70.91999816894531
392,2017-10-12,OPEN,70.58999633789062
393,2017-10-12,CLOSE,71.13600158691406
394,2017-10-13,OPEN,71.39600372314453
395,2017-10-13,CLOSE,71.11399841308594
396,2017-10-16,OPEN,70.75199890136719
397,2017-10-16,CLOSE,70.12000274658203
398,2017-10-17,OPEN,70.18199920654297
399,2017-10-17,CLOSE,71.1500015258789
400,2017-10-18,OPEN,71.19400024414062
401,2017-10-18,CLOSE,71.93000030517578
402,2017-10-19,OPEN,71.11199951171875
403,2017-10-19,CLOSE,70.36199951171875
404,2017-10-20,OPEN,70.53800201416016
405,2017-10-20,CLOSE,69.0199966430664
406,2017-10-23,OPEN,69.97599792480469
407,2017-10-23,CLOSE,67.40399932861328
408,2017-10-24,OPEN,67.76000213623047
409,2017-10-24,CLOSE,67.46800231933594
410,2017-10-25,OPEN,67.33999633789062
411,2017-10-25,CLOSE,65.16799926757812
412,2017-10-26,OPEN,65.55599975585938
413,2017-10-26,CLOSE,65.23400115966797
414,2017-10-27,OPEN,63.95000076293945
415,2017-10-27,CLOSE,64.17400360107422
416,2017-10-30,OPEN,63.83599853515625
417,2017-10-30,CLOSE,64.01599884033203
418,2017-10-31,OPEN,64.0459976196289
419,2017-10-31,CLOSE,66.30599975585938
420,2017-11-01,OPEN,66.44999694824219
421,2017-11-01,CLOSE,64.21600341796875
422,2017-11-02,OPEN,60.0260009765625
423,2017-11-02,CLOSE,59.85200119018555
424,2017-11-03,OPEN,59.900001525878906
425,2017-11-03,CLOSE,61.21799850463867
426,2017-11-06,OPEN,61.400001525878906
427,2017-11-06,CLOSE,60.555999755859375
428,2017-11-07,OPEN,60.20399856567383
429,2017-11-07,CLOSE,61.209999084472656
430,2017-11-08,OPEN,61.09999847412109
431,2017-11-08,CLOSE,60.87799835205078
432,2017-11-09,OPEN,60.5
433,2017-11-09,CLOSE,60.59799957275391
434,2017-11-10,OPEN,60.5
435,2017-11-10,CLOSE,60.59799957275391
436,2017-11-13,OPEN,60.0260009765625
437,2017-11-13,CLOSE,63.08000183105469
438,2017-11-14,OPEN,63.0
439,2017-11-14,CLOSE,61.7400016784668
440,2017-11-15,OPEN,61.20199966430664
441,2017-11-15,CLOSE,62.2599983215332
442,2017-11-16,OPEN,62.79800033569336
443,2017-11-16,CLOSE,62.5
444,2017-11-17,OPEN,65.13400268554688
445,2017-11-17,CLOSE,63.0099983215332
446,2017-11-20,OPEN,62.757999420166016
447,2017-11-20,CLOSE,61.74800109863281
448,2017-11-21,OPEN,62.172000885009766
449,2017-11-21,CLOSE,63.5620002746582
450,2017-11-22,OPEN,63.354000091552734
451,2017-11-22,CLOSE,62.52000045776367
452,2017-11-24,OPEN,62.757999420166016
453,2017-11-24,CLOSE,63.11000061035156
454,2017-11-27,OPEN,62.650001525878906
455,2017-11-27,CLOSE,63.36199951171875
456,2017-11-28,OPEN,63.27199935913086
457,2017-11-28,CLOSE,63.5099983215332
458,2017-11-29,OPEN,63.459999084472656
459,2017-11-29,CLOSE,61.507999420166016
460,2017-11-30,OPEN,61.71200180053711
461,2017-11-30,CLOSE,61.77000045776367
462,2017-12-01,OPEN,61.0880012512207
463,2017-12-01,CLOSE,61.305999755859375
464,2017-12-04,OPEN,61.29999923706055
465,2017-12-04,CLOSE,61.040000915527344
466,2017-12-05,OPEN,60.400001525878906
467,2017-12-05,CLOSE,60.7400016784668
468,2017-12-06,OPEN,60.02000045776367
469,2017-12-06,CLOSE,62.652000427246094
470,2017-12-07,OPEN,62.400001525878906
471,2017-12-07,CLOSE,62.24800109863281
472,2017-12-08,OPEN,62.91999816894531
473,2017-12-08,CLOSE,63.0260009765625
474,2017-12-11,OPEN,62.92599868774414
475,2017-12-11,CLOSE,65.78199768066406
476,2017-12-12,OPEN,66.08999633789062
