Date,combined,combined,combined,negative,negative,negative,neutral,neutral,neutral,positive,positive,positive,CL=FDirection,GSPCDirection,GSPTSEDirection,IXICDirection,BTC-USDDirection,TSLADirection
,count,mean,var,count,mean,var,count,mean,var,count,mean,var,mean,mean,mean,mean,mean,mean
2022-02-04 11:00:00,4,0.11432500000000001,0.1241357825,4,0.04325,0.003755583333333333,4,0.915,0.00591266666666667,4,0.04175,0.00697225,2.0,0.0,0.0,0.0,2.0,2.0
2022-02-04 11:15:00,1,0.4215,,1,0.0,,1,0.612,,1,0.388,,0.0,0.0,0.0,0.0,2.0,0.0
2022-02-04 11:30:00,3,-0.3723,0.13516069,3,0.15533333333333332,0.02245233333333333,3,0.7943333333333333,0.051746333333333325,3,0.050333333333333334,0.007600333333333332,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 11:45:00,2,0.10115,0.020462645,2,0.0,0.0,2,0.9165,0.013944500000000006,2,0.0835,0.013944500000000002,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 12:00:00,1,0.5106,,1,0.0,,1,0.732,,1,0.268,,2.0,0.0,2.0,2.0,2.0,0.0
2022-02-04 12:15:00,2,-0.204,0.29169522,2,0.174,0.060551999999999995,2,0.787,0.03645,2,0.039,0.003042,0.0,2.0,2.0,2.0,0.0,2.0
2022-02-04 12:30:00,3,-0.0937,0.006742270000000001,3,0.10566666666666667,0.009856333333333333,3,0.8453333333333334,0.030485333333333337,3,0.04933333333333333,0.0073013333333333316,2.0,2.0,0.0,0.0,0.0,2.0
2022-02-04 12:45:00,2,0.1909,0.07288561999999998,2,0.0,0.0,2,0.888,0.025087999999999996,2,0.112,0.025088000000000003,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 13:00:00,2,-0.28625,0.575128125,2,0.2485,0.015312500000000005,2,0.6285000000000001,0.0025205000000000006,2,0.123,0.030258,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 13:15:00,3,-0.2441333333333333,0.14367397333333332,3,0.09166666666666667,0.006358333333333334,3,0.9083333333333333,0.006358333333333331,3,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
2022-02-04 13:30:00,2,0.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
2022-02-04 13:45:00,3,0.1686,0.11403972,3,0.034666666666666665,0.003605333333333333,3,0.8706666666666667,0.014066333333333337,3,0.09466666666666668,0.006890333333333333,0.0,2.0,2.0,2.0,0.0,2.0
2022-02-04 14:00:00,2,0.12364999999999998,0.8045461250000001,2,0.0585,0.006844500000000001,2,0.6635,0.09636049999999999,2,0.278,0.15456800000000004,2.0,0.0,0.0,2.0,2.0,0.0
2022-02-04 14:15:00,3,0.1649,0.12572671,3,0.035666666666666666,0.003816333333333333,3,0.8690000000000001,0.014352999999999998,3,0.09500000000000001,0.0070090000000000005,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04 14:30:00,1,-0.4939,,1,0.286,,1,0.714,,1,0.0,,0.0,2.0,0.0,2.0,2.0,2.0
2022-02-04 14:45:00,1,0.128,,1,0.0,,1,0.889,,1,0.111,,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 15:00:00,2,0.1523,0.10534049999999999,2,0.0385,0.0029645,2,0.817,0.003361999999999992,2,0.14400000000000002,0.012799999999999999,2.0,2.0,2.0,2.0,2.0,0.0
2022-02-04 15:15:00,1,0.2732,,1,0.0,,1,0.811,,1,0.189,,0.0,2.0,2.0,2.0,2.0,2.0
